species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,44092,preservedspecimen,1,united states,iowa,skunk river 2.3 mi nw rubio upstream rubio state access area north america,2002,41.2434,-91.9703,
Amblema plicata,inhs,12311,preservedspecimen,2,united states,indiana,white river 3.5 mi ene mt. carmel kelly's ripple at island north america,1991,38.43194,-87.68081,
Amblema plicata,inhs,27845,preservedspecimen,1,united states,illinois,illinois river 1.5 mi ssw naples river mile 63.5 north america,2002,39.7286,-90.6281,
Amblema plicata,omnh,15421,preservedspecimen,1,united states,oklahoma,monroe,1978,35.02466,-94.582026,
Amblema plicata,inhs,5115,preservedspecimen,18,united states,indiana,wabash river 2 mi sw fountain north america,1988,40.20582,-87.3771,
Amblema plicata,inhs,1406,preservedspecimen,2,united states,,ohio river north america,,,,
Amblema plicata,inhs,10611,preservedspecimen,1,united states,illinois,fox river oswego u.s. rt. 34 bridge north america,1990,41.68514,-88.35665,
Amblema plicata,uf,375101-mollusca,preservedspecimen,1,united states,alabama,slough off alabama river @ 1 mi. upstream of claiborne lock & dam on west bank.,1999,31.554514,-87.51556,
Amblema plicata,inhs,23259,preservedspecimen,2,united states,illinois,mazon river 1.2 mi se morris north america,1999,41.3487,-88.4008,
Amblema plicata,uf,229732-mollusca,preservedspecimen,1,united states,alabama,decatur,,,,
Amblema plicata,inhs,36712,preservedspecimen,1,united states,minnesota,chippewa river 6.1 mi ne big bend city co. rd. 6 north america,2008,45.19547,-95.67066,
Amblema plicata,omnh,9426,preservedspecimen,1,united states,oklahoma,buzzard creek,1990,34.66333,-94.77694,
Amblema plicata,inhs,12703,preservedspecimen,1,united states,illinois,coal creek 2.5 mi nnw mineral north america,1991,41.41532,-89.84841,
Amblema plicata,inhs,18413,preservedspecimen,1,united states,illinois,panther creek 1.5 mi s secor north america,,40.71976,-89.12725,
Amblema plicata,omnh,15425,preservedspecimen,1,united states,oklahoma,cache creek,1941,,,
Amblema plicata,inhs,7407,preservedspecimen,74,united states,illinois,embarras river 5 mi e newton north america,1956,38.9826,-88.05606,
Amblema plicata,inhs,33014,preservedspecimen,1,united states,illinois,illinois river 3.8 mi ne pearl mouth of ditch river mile 46.8 north america,2002,39.50396,-90.58474,
