species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,cm,64081,preservedspecimen,1,united states,pennsylvania,conneaut l barber run(0-100ft below) conneaut lake(outlet),2002,41.59958,-80.2991,
Amblema plicata,usnm,25186,preservedspecimen,2,united states,pennsylvania,bristol,,,,
Amblema plicata,usnm,477076,preservedspecimen,2,united states,ohio,garrettsville,,,,
Amblema plicata,usnm,85986,preservedspecimen,2,united states,new york,buffalo,,,,
Amblema plicata,usnm,251536,preservedspecimen,20,united states,washington d.c.,potomac river fox ferry,,38.8017,-77.0267,
Amblema plicata,usnm,676928,preservedspecimen,2,united states,washington d.c.,national mall and memorial parks old bathing beach,1906,38.8817,-77.035,
Amblema plicata,usnm,782636,preservedspecimen,3,united states,virginia,honeoye creek 3 mile north of honeoye lake 2.5 mile north of honeoye village,1978,,,
Amblema plicata,usnm,251536,preservedspecimen,1,united states,washington d.c.,; ; united states; district of columbia; poomac river fox ferry,,,,
Amblema plicata,usnm,676874,preservedspecimen,3,united states,pennsylvania,; ; united states; pennsylvania; big pond presque isle,,,,
Amblema plicata,usnm,364726,preservedspecimen,2,united states,maryland,; ; united states; maryland; fort washington,,,,
Amblema plicata,usnm,160711,preservedspecimen,2,united states,new york,; ; united states; new york; lake erie cedar point,,,,
Amblema plicata,usnm,477070,preservedspecimen,2,united states,ohio,; ; united states; ohio; garrettsville,,,,
Amblema plicata,ansp,347859,preservedspecimen,22,united states,new jersey,between left bank and newbold island delaware river,1978,40.1,-74.833333,
Amblema plicata,ansp,358275,preservedspecimen,10,united states,delaware,nanticoke river (deep creek) at nanticoke acres ca. 2 miles east of seaford,,38.666666,-75.583333,
Amblema plicata,ansp,372996,preservedspecimen,4,united states,new jersey,crosswicks creek,1974,40.133333,-74.666666,
Amblema plicata,ansp,a14577,preservedspecimen,1,united states,,,,,,
Amblema plicata,ansp,397461,preservedspecimen,2,united states,pennsylvania,kennerdale allegheny river,1970,41.248055,-79.844444,
Amblema plicata,ansp,112694,preservedspecimen,7,united states,new jersey,florence delaware river,1913,,,
Amblema plicata,inhs,46141,preservedspecimen,2,united states,massachusetts,acushnet river acushnet north america,1979,41.67996,-70.91812,
Amblema plicata,uf,66075-mollusca,preservedspecimen,1,united states,arkansas,big decieper lake 9 mi s of arkadelphia,,,,
Amblema plicata,inhs,37703,preservedspecimen,3,united states,connecticut,connecticut river hartford north america,,41.76491,-72.66546,
Amblema plicata,uf,66077-mollusca,preservedspecimen,1,united states,michigan,sand point saginaw bay,,,,
Amblema plicata,inhs,27825,preservedspecimen,1,united states,pennsylvania,schuylkill river presque north america,,,,
Amblema plicata,omnh,15894,preservedspecimen,1,united states,michigan,lancaster lake,1948,45.619659,-84.706621,
Amblema plicata,uf,4239-mollusca,preservedspecimen,1,united states,michigan,douglas lake,,,,
Amblema plicata,uf,66080-mollusca,preservedspecimen,1,united states,ohio,cincinnati canal,,,,
Amblema plicata,uf,38114-mollusca,preservedspecimen,1,united states,ohio,lake erie long beach,1951,,,
