species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,5355,preservedspecimen,1,united states,illinois,illinois river 4 mi n kampsville retzer's landing river mile 36 north america,1988,39.36098,-90.62392,
Amblema plicata,uf,213808-mollusca,preservedspecimen,1,united states,wisconsin,wisconsin river,1972,,,
Amblema plicata,inhs,6338,preservedspecimen,1,united states,indiana,wabash river 4 mi e lagro co. rd. 100n north america,1988,40.84226,-85.64718,
Amblema plicata,inhs,23963,preservedspecimen,1,united states,illinois,rock river rockton rt. 75 bridge north america,1998,42.44975,-89.07263,
Amblema plicata,inhs,486,preservedspecimen,1,united states,illinois,spoon river near duncans mills north america,,40.33987,-90.17001,
Amblema plicata,inhs,2470,preservedspecimen,7,united states,illinois,embarras river 12 mi s charleston rocky ford north america,1956,39.3076,-88.16176,
Amblema plicata,inhs,11785,preservedspecimen,1,united states,illinois,mississippi river pool 15 river mile 487- 493 north america,,41.52673,-90.45168,
Amblema plicata,inhs,45289,preservedspecimen,1,united states,illinois,illinois river 1.2 mi se pearl river mile 42.3 north america,1966,39.4468,-90.6097,
Amblema plicata,inhs,8986,preservedspecimen,1,united states,illinois,east fork spoon river 1 mi n modena river mile 0.0- 0.1 north america,1971,41.1478,-89.75924,
Amblema plicata,inhs,45159,preservedspecimen,1,united states,illinois,illinois river 1.9 mi nne havana sw of quiver lake river mile 122.2 north america,1966,40.3265,-90.0518,
Amblema plicata,uf,16769-mollusca,preservedspecimen,1,united states,alabama,tennessee river wheeler lake 4 mi se decatur,1952,,,
Amblema plicata,omnh,6060,preservedspecimen,1,united states,oklahoma,stanley,1992,34.54,-95.46944,
Amblema plicata,inhs,44202,preservedspecimen,1,united states,illinois,rock river 3 mi n oregon north america,,42.07768,-89.32852,
Amblema plicata,inhs,482,preservedspecimen,11,united states,illinois,rock river above oregon vic. of blackhawk springs north america,,,,
Amblema plicata,omnh,15477,preservedspecimen,1,united states,oklahoma,whitesboro,1989,,,
Amblema plicata,inhs,27180,preservedspecimen,1,united states,illinois,kaskaskia river cooks mills co. rd. 20 bridge north america,2002,39.58304,-88.41357,
Amblema plicata,inhs,9912,preservedspecimen,1,united states,illinois,rock river prophetstown rt. 78 north america,,41.68615,-89.93814,
Amblema plicata,inhs,25346,preservedspecimen,1,united states,illinois,kankakee river momence co. rd. 1000e & s river rd. north america,2000,41.15943,-87.68131,
Amblema plicata,inhs,11663,preservedspecimen,6,united states,illinois,illinois river above kampsville mouth of silver creek river mile 33.2- 33.5 north america,1966,39.31569,-90.61413,
Amblema plicata,inhs,5384,preservedspecimen,3,united states,illinois,little wabash river new haven downstream rt. 141 bridge at old dam north america,1988,37.9078,-88.1201,
Amblema plicata,inhs,43346,preservedspecimen,1,united states,illinois,south branch kishwaukee river 1 mi w kingston glidden rd. bridge north america,2012,42.10307,-88.78461,
Amblema plicata,omnh,15487,preservedspecimen,1,united states,oklahoma,,1910,33.96972,-96.65333,
Amblema plicata,inhs,38596,preservedspecimen,1,united states,iowa,north raccoon river 3.3 mi se adel north america,2007,41.5743,-93.981,
Amblema plicata,inhs,509,preservedspecimen,1,united states,illinois,rock river lyndon north america,,41.71527,-89.91834,
Amblema plicata,inhs,11384,preservedspecimen,54,united states,illinois,iroquois river iroquois north america,,40.82319,-87.58162,
Amblema plicata,inhs,19454,preservedspecimen,1,united states,illinois,east fork lamoine river 3 mi w macomb north america,1996,40.45283,-90.73792,
