species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,87730,preservedspecimen,4,united states,illinois,illinois river 4 mi s minooka upstream dresden lock & dam downstream dresden outfall north america,2006,41.3981,-88.27493,
Amblema plicata,cm,61.7064,preservedspecimen,2,united states,illinois,kaskaskia r,,,,
Amblema plicata,cm,61.3830-cm,preservedspecimen,9,united states,pennsylvania,mahoning r mahoningtown,1908,,,
Amblema plicata,cm,61.6810-cm,preservedspecimen,1,united states,ohio,big beaver cr,,,,
Amblema plicata,cm,61.7780-cm,preservedspecimen,1,united states,kansas,bull cr,,,,
Amblema plicata,cm,61.8840-cm,preservedspecimen,3,united states,ohio,sandusky r upper sandusky,,40.81667,-83.26667,
Amblema plicata,cm,61.11570-cm,preservedspecimen,1,united states,tennessee,duck r leftwich,1923,,,
Amblema plicata,cm,41523,preservedspecimen,5,united states,ohio,l erie sandusky sandusky bay,,,,
Amblema plicata,cm,47726,preservedspecimen,3,united states,pennsylvania,french cr utica borough 3rd street bridge,1996,41.438333,-79.955,
Amblema plicata,cm,61.1055,preservedspecimen,3,united states,west virginia,hughes r cornwallis hughes river(n fork),,,,
Amblema plicata,cm,61.3225,preservedspecimen,2,united states,louisiana,bayou pierre,,,,
Amblema plicata,cm,61.5269,preservedspecimen,10,united states,arkansas,ouachita r arkadelphia ouachita r(old r),1911,,,
Amblema plicata,cm,61.5626,preservedspecimen,3,united states,indiana,white r white river(w fork) riverside,,,,
Amblema plicata,cm,61.6813,preservedspecimen,1,united states,indiana,wabash r bluffton,,,,
Amblema plicata,cm,61.7772,preservedspecimen,5,united states,ohio,scioto r kenton,,40.63333,-83.6,
Amblema plicata,cm,61.9789,preservedspecimen,5,united states,oklahoma,glover cr glover,,34.077268,-94.904651,
Amblema plicata,cm,61.12232,preservedspecimen,3,united states,arkansas,little r white cliffs,,,,
Amblema plicata,cm,61.12662,preservedspecimen,2,united states,alabama,coosa r slackland,1926,,,
Amblema plicata,cm,61.13221,preservedspecimen,1,united states,ohio,put-in-bay gibraltar id l erie put-in-bay,1936,41.65,-82.81667,
Amblema plicata,cm,72867,preservedspecimen,7,united states,ohio,muskingum r lowell dam #3,1970,,,
Amblema plicata,cm,79444,preservedspecimen,11,united states,ohio,muskingum r lowell,1970,,,
Amblema plicata,cm,81701,preservedspecimen,1,united states,pennsylvania,shenango r rand's mill bridge,2001,,,
Amblema plicata,cm,61.3068,preservedspecimen,1,united states,pennsylvania,allegheny r white rock = johnetta,1907,,,
Amblema plicata,cm,61.4338,preservedspecimen,1,united states,pennsylvania,dunkard cr dunkard,1909,,,
Amblema plicata,cm,61.4352,preservedspecimen,3,united states,pennsylvania,presque isle bay erie presque isle bay(s shore),1909,,,
Amblema plicata,cm,61.4519,preservedspecimen,2,united states,pennsylvania,presque isle bay erie big bend,1910,,,
Amblema plicata,cm,61.4524,preservedspecimen,1,united states,pennsylvania,ohio r shippingport,1910,,,
Amblema plicata,cm,61.5261,preservedspecimen,2,united states,west virginia,little kanawha r burnsville,1911,,,
Amblema plicata,cm,61.7415,preservedspecimen,1,united states,tennessee,clinch r clinton,1914,,,
Amblema plicata,cm,61.11165,preservedspecimen,1,united states,tennessee,harpeth r kingston springs,1921,,,
Amblema plicata,cm,61.11163,preservedspecimen,3,united states,tennessee,stones r murfreesboro stones r(w fork),1921,,,
Amblema plicata,cm,61.11972,preservedspecimen,1,united states,tennessee,tennessee r dixie trotters landing,1924,,,
Amblema plicata,cm,46982,preservedspecimen,15,united states,ohio,ohio r marietta,,,,
Amblema plicata,cm,61.1049,preservedspecimen,2,united states,ohio,,,,,
Amblema plicata,cm,61.7262,preservedspecimen,2,united states,mississippi,big black r,,,,
Amblema plicata,cm,81696,preservedspecimen,2,united states,pennsylvania,shenango r greenville park(0.25 mi below) greenville park also known as riverside,2002,,,
Amblema plicata,cm,95559,preservedspecimen,1,united states,pennsylvania,dunkard cr dunkard cr brave mill dam(blw),2005,,,
Amblema plicata,inhs,19713,preservedspecimen,1,united states,kentucky,ledbetter creek rt. 94 bridge north america,1997,36.73321,-88.15121,
Amblema plicata,inhs,45321,preservedspecimen,1,united states,illinois,illinois river 4.7 mi e griggsville river mile 62.6 north america,1966,39.7197,-90.6364,
Amblema plicata,inhs,26708,preservedspecimen,2,united states,illinois,little vermilion river 1 mi ne sidell old r.r. bridge north america,2001,39.92035,-87.80406,
Amblema plicata,inhs,27920,preservedspecimen,1,united states,illinois,salt fork vermilion river 2 mi sse muncie upstream mouth stoney creek north america,2002,40.08871,-87.82428,
Amblema plicata,inhs,14287,preservedspecimen,1,united states,illinois,kankakee river kankakee washington ave./rt. 45 downstream of dam below bridge north america,1987,41.1132,-87.8688,
Amblema plicata,inhs,33463,preservedspecimen,1,united states,illinois,wabash river 2.5 mi s riverton just upstream of sugar creek confluence north america,,38.9888,-87.5788,
Amblema plicata,inhs,28370,preservedspecimen,1,united states,illinois,mississippi river 2 mi ene andalusia andalusia slough pool 16 river mile 473.5 north america,2003,41.4497,-90.6895,
Amblema plicata,inhs,5477,preservedspecimen,1,united states,illinois,embarras river 2 mi se charleston old bridge s of lake charleston spillway north america,1988,39.4572,-88.14705,
